RequirementText,_class_
product shall provide asynchronous messagingthe product shall provide asynchronous messaging enable parallel processing reduce overhead communication,PE
product shall provide multithreading load balancingthe product shall provide multithreading technology well load balancing overcome data load spike traffic,PE
product shall process message within 2 secondsthe product shall maximum message processing time 2 second,PE
product shall poll system message every secondthe product shall poll system new message maximum every 1 second,PE
product shall provide dynamic change support transparent resource additionthe product shall support transparent resource addition dynamic change support provide scalability avoid service interruption 1 day,PE
product shall available 99 time rationale avoid service interruption busiest customer service response period product shall available 9999 time regular business day,A
product shall robustthe product shall fault avoidance based standard adoption,FT
product shall robust fault tolerancethe product shall fault tolerance using recovery technique compensatory transaction routing around failure,FT
product shall able process transactionsthe product shall process minimum 1 million transaction per year,SC
product shall platform independentthe product shall enable access type development environment platform,O
product shall interface csr datastreamthe product shall exchange message csr eam real time basis without direct interface two system,O
product shall continue operate upgrade change new resource additionthe product shall able continue operate interruption service due new resource addition,MN
product shall updated regular basisthe product new major feature introduced every six month quarterly maintenance release every six month,MN
product shall operate every platformthe product shall accommodate new technology without change architecture,MN
product shall securitythe product shall provide authentication authorization,SE
product shall information security product shall enable privacy encryption wssecurity integrity checking,SE
product shall audit capabilitiesthe product shall store message minimum one year audit transaction tracking purpose,SE
system shall use ibm ccr branding standard interface must one ibm logo one ccr logo,LF
system shall displayable work computer ccr user may system interface shall formatted display 800 600 pixel resolution,LF
system interface use ccr nomenclature system must use nomenclature used existing wcs system report,LF
interface must summarize data fashion that92s appealing ccr management every report type must least one high level summary shown result dashboardinterface,LF
system must use point click interface 100 selection navigation functionality must able activatedselected either mouse keyboard,US
interface shall easy use 90 user able successfully use system generate report first use interface adhere ibm usability standard,US
report must easy generate report must generated within one button click exported within one button click selecting report,US
user shall able use system without instruction short amount time one use user understand remember 90 system usage navigation,US
ccr user shall receive training wcs system deployed one training session held 100 ccr user system deployment based ccr user available,US
wcs system shall use appropriate nomenclature terminology defined corporate community grant organization interface report undergo usability test ccr user,US
wcs system shall available time long ibm92s internal intranet w3 accessible wcs system available 95 time ibm92s internal intranet w3 available,A
wcs system shall ability connect designated wcs database currently included system,SC
wcs system shall ability include data region outside united state accessed user outside united state approved ccr management,SC
wcs system shall run window environment wcs shall accessed user internet ibm computer running window 2000 operating system,O
brio portion wcs system must able export file spreadsheet form microsoft excel lotus 123 format brio provide button user interface produceexport report xl 123 file format,O
wcs system must run query wcs database specified day update available data available ccr user query must made external database data refresh week,MN
change update addition wcs system shall updated wcs developer wcs user guide every change must reflected wcs system documentation,MN
system shall accessed authorized corporate community grant ccr employee user must authenticated using ibm intranet user name password,SE
wcs system shall allow automatic logins user cooky containing wcs login information user stored user92s computer,SE
team owner need use username password order authenticated reach team owner92s page,SE
commissioner authorized user per league adjust league setting,SE
page shall contain navigation menu show index current page contained,LF
page shall contain similar format action item one location navigation button different location,LF
message board shall contain 5 recently posted message league page message contain first 150 character message,LF
new user shall able navigate league team page within 30 second reaching startup page,US
user shall able reach 91add92 91drop92 91trade player92 page one click team owner92s page,US
user shall able view least 25 nfl player statistic point page,US
application shall ask user confirm dropping player trading player performing action,US
application shall able complete every user transaction within one fourth second receiving request network,PE
application shall downtime 10 minute per year,A
application shall run web application server,O
primary database used store cached data active user,O
secondary database used store historical statistic data,O
application update shall occur 3am 6 cst wednesday morning middle nfl season,MN
new system version release shall released beginning nfl season,MN
rf system available 247 especially budgeting period rf system shall available 90 time year 98 budgeting period 2 time system become available within 1 hour time situation reported,A
98 user workstation shall meet minimum hardware requirement prior implementation minimum hard disk space 400mb,O
98 user workstation shall meet minimum software requirement prior implementation microsoft internet explorer 50 microsoft net framework 11 microsoft internet explorer web control,O
rf system able easily interface bdw environment order load data 95 7 data file shall received bdw loaded rf system within 3 hour one day prior start budgeting process every year data october monthend test file 7 shall loaded 5 time throughout year bdw,O
change revenue expense formula must applied rf system every year prior budgeting process start revenue expense formula updated within one week receipt 2 week allotted testing budget calculation conducted jointly project development team pcg finance,MN
new branchescomplexesdistrictsregions revenueexpense account added bdw must reflected rf system 100 entity mentioned available october monthend loaded rf system prior budget start process,MN
authorized user shall access rf system user exist uas system rf system assigned role shall access rf system use,SE
user access limited permission granted role level pcg hierarchy assigned role user assigned role access functionality within rf system dependent privilegespermission assigned role,SE
product must comply intranet page standard requirement enet security 95 product look feel approved architecture group prior implementation remaining 5 corrected approved within one month product release,LF
intranet page display appropriately resolution 800x600 higher display page correct 95 resolution prior implementation remaining 5 corrected within week notification incorrect display,LF
user able easily use system successfully complete budget within stipulated time completion week training prior product implementation 98 user shall complete budget within stipulated time,US
product interface fast response time product interface exceed 2 second 90 time 10 time response time 10 secondsnot 10 second,PE
system shall operate unix window operating system,PO
system shall evoked typing pine command shell prompt,O
system shall use smtp mail protocol,O
system shall support ability perform send receive operation,F
system shall support ability perform send operation,F
system shall support ability perform receive operation,F
system shall use textbased interface display listing available mail,LF
system shall help system offer tip explanation screen item screen upon demand,US
system shall display embed message datetimestamp message sent,F
system shall allow text search user may use find mail message,F
system search feature support use regular expression search,F
system shall provide option withdraw money,F
system shall query user amount money,F
system shall query user account type,F
system shall validate amount available user account releasing fund user,F
system shall validate amount multiple 20,F
system shall debit user account upon withdrawal fund,F
system shall able issue specific amount money user,F
meeting scheduler system shall able select participant important participant,F
meeting scheduler system shall cancel meeting due canceling important participant,F
meeting scheduler system shall reschedule meeting support conflict resolution,F
meeting scheduler shall accessed web,O
meeting scheduler system may optionally automatically propose another meeting current meeting canceled important participant,F
meeting scheduler system may provide meeting initiator summary scan potential meeting participant showing available time slot schedule conflict mean informing meeting initiator overall result system,F
meeting scheduler system may able include agenda meeting proposal,F
meeting scheduler system may suggest virtual meeting available time slot location available feasible meeting,F
meeting scheduler system may able include list required equipment meeting proposal,F
meeting scheduler system temporarily reserve time slot proposed meeting,F
meeting scheduler system inform potential meeting participant meeting,F
system must easy use manager chef need read extensive amount manual,US
system must quickly accessible manager chef,US
system must intuitive simple way display relevant data relationship,US
menu system must easily navigable user button easy understand,US
function system must available user every time system turned,A
calculation performed system must comply according norm set user vary unless explicitly changed user,L
client agree eula using software,L
web page generated system shall fully downloadable 10 second 40kbps modem connection,PE
response query shall take longer 7 second load onto screen user submits query,PE
system shall display confirmation message user within 4 second user submits information system,PE
network transaction involve financial information personally identifiable information shall encrypted,SE
user shall required log cafeteria ordering system operation except viewing menu,F
patron shall log according restricted computer system access policy,SE
system shall permit cafeteria staff member list authorized menu manager create edit menu,F
user authorized home access corporate intranet may use co noncompany location,SE
programmer application developer access source code address bug system enhancement deemed necessary network administrator dba support also required maintain 24x7 system uptime,A
system security access level provided online system varying level system access functional authority student access limited hisher registration record authorized system administrator access student registration record,SE
online registration system selfservice style system shall initially address student registration need,F
data entry form application match microsoft excel hardcopy counterpart closely possible hardcopies form provided design team second requirement interview,O
95 user need read user manual able use application,US
change made manage id website adopted without altering io application,MN
application connected internet,A
application connected gps device,A
application easy extend code written way favor implementation new function,MN
test environment built application allow testing application different function,MN
application portable io android,PO
system shall show tabbed display equivalent functionality campus map one tab info recently announced building,LF
system shall allow user scroll campus map campus map tab,US
campus map shall provide visual clue regarding area prepared audio therefore may selected,LF
campus map shall pauseresume button pause resume button allow user scroll select building without interrupted automatic search announce feature,LF
system shall provide way return startup screen,US
generate report registered complaint admin response report user submitted query,F
system maintain correct schedule lab documentation lab equipment,F
system use company color logo,LF
system shall capable restoring previous state event failure eg system crash power loss,FT
system shall able display menu time facilitate manual order taking need arise,LF
system shall utilise periodic 30second keepalive message tablet server monitor tablet operational status,O
system shall flag tablet fail send timely keepalive message nonoperational disassociate assigned waiter tablet,FT
waiter password used tablet login must bitstrength least 64 bit,SE
waiter password used tablet login must changed every three month,SE
waiter shall able log one tablet given instance time,SE
waiter attempt log second tablet already logged another tablet shall rejected notified tablet,SE
display shall require user log,SE
surface computer shall require user log,SE
tablet shall require user log using username password,SE
system fully function major browser,PO
system support mobile user way,PO
response view information shall take longer 5 second appear screen,PE
system shall accommodate large data item without fault,FT
system use secured database,SE
unauthorised user read data without modifying anything,SE
ab shall handle expected unexpected error way prevent loss information long downtime period,FT
authenticate login user web app,F
enable new user register tech support system,F
enable registered user change password forgets password,F
enable registered user view profile additional information viz question asked answer posted also displayed,F
enable user view question corresponding answer,F
enable logged user ask question,F
enable logged user post answer,F
enable logged user vote vote answer,F
provide interface admin approve post post visible without admin approval,F
enable admin generate report contains post corresponding reply,F
information transmission securely transmitted server without change information,SE
intuitive even first time user,LF
flea market system interface web server rdbms software using apis provided implementation language,O
transaction flea market require valid user id password,SE
secure data transfer internet could provided using ssl encryption configured host system administrator,SE
ip address transaction made logged,SE
user password stored database encrypted format,SE
system function controlled using administrative interface,F
detailed documentation code sr enable easy maintenance flea market,MN
information recorded must include optional field context,F
information tagged according entering data,F
must able download recent medical record,F
must store recent copy information application data folder,F
must update part changed connecting server,O
must able change update information server,O
application must log user exited,SE
correct combination username password required user login,SE
give drilldown view data medical record logging,LF
user must able set option hide information based tagged,F
user must able add photo hisher photo library hisher medical record,F
must allow user login,F
must allow user logout,F
information must viewable website,F
information must updatable website,F
must allow user download backup medical information,F
logout must automatic 1 hour inactivity,SE
full data backup must created daily,SE
user must logged able view edit medical information,F
account must securely store data,SE
account must separate identifying account number,F
system shall allow user choose filling want,F
system shall allow user choose preferable topping,F
system shall allow user decorate doughnut,F
system shall give user opportunity user choose selection doughnut provided,F
system take customer name,F
system keep customer contact number,F
system keep customer email,F
system ask user key pickup date,F
system require user state time doughnut delivered,F
system keep location doughnut send,O
website available whenever user want use,A
system use ssl secured socket layer transaction include confidential customer information,SE
system must automatically log customer period inactivity,SE
system leave cooky customer computer containing user password,SE
system backend server shall accessible authenticated administrator,SE
sensitive data encrypted sent insecure connection like internet,SE
system provides storage database redundant computer automatic switchover,O
reliability overall program depends reliability separate component main pillar reliability system backup database continuously maintained updated reflect recent change,FT
enduser may use system o either window linux,PO
logo current basic design registration system displayed system attractive according client design color make user feel comfortable using system instead flashing useless color screen design also reflect seriousness environment,LF
system able manage information incoming database catalogue,O
product web based therefore used environment allows web access,PO
system successfully operate registration system integrated service portal,O
system need entirely selfsupporting since user would using register course,US
web interface compatible standard order usable via major web browser wide variety environment,PO
everyone stakeholder guest access system catalogue every client must secure private access hisher data service man access every part system access except guest tour access require identification id password,SE
system develop security system reduce minimum possibility corruption system andor human,SE
operational interface shall mean time failure le 7 day,FT
system shall available 995 time,A
software system need robust security mechanism place unauthorized user allowed access part system,SE
user shall either trusted trusted,SE
source code development related document shall controlled version control system,MN
source code shall adhere agreed upon welldefined set coding standard development language used,MN
since software must run several popular hardware platform goal achieve reasonable level platform independence,PO
high level performance requires high speed network high level connectivity,PE
available server must reliable network connectivity supermarket proper smooth flow operation data,O
every user software provided unique login id password stored database hashed sha2 algorithm,SE
software available use supermarket opening time closing time,A
system shall accommodate high number item user without fault,FT
system use shall cause harm human user,SE
system use secured database,SE
normal user read information edit modify anything except personal information,SE
system different type user every user access constraint,SE
control database keep track record customer employee detail,F
contact vendor give permission sell product site testing product quality,F
view detail employee control whole site,F
customer must valid login id enter site,SE
new user sign creating new id,F
view available product compare make choice purchasing product,F
purchase product valid credit card,F
give feedback 24x7 customer care service center impression site service,F
customer must logout site purchasing product,F
visit site without registration,F
vendor must take permission administrator selling product site administrator test product quality according market price permit vendor selling purpose,F
consult administrator regarding product quality advertisement,F
view personal detail customer,F
responsible properly allocating selected product according customer choice delivering product customer,F
keep track product item stock selling purpose,F
responsible informing administrator product item stock go minimum level,F
taking permission administrator product purchased vendor,F
responsible managing stock product item,F
keep track payment transaction made customer update payment information,F
responsible contacting bank validation ac number provided customer purchasing make transaction given ac,F
consult administrator payment detail customer updating database,F
provide feasible solution customer complaint query,F
system require user state time doughnut delivered,F
system expected reasonable short time response voter able login able get response request 23 second,PE
data transaction client server must encrypted using ssl technology,SE
password generated accepted must stored database encrypted form,SE
prevent attack system generate random word ask user enter correctly multiple tryings,SE
system warn eca user malfunction system,FT
system simple use,LF
physicianpharmacist must valid user login access system,F
failed login alert physicianpharmacist,F
list available patient displayed login,F
error message alert invalid patient entered,F
backspacereset capability implemented typing error,F
selected specified patient information loaded,F
return list available patient loaded correct,F
navigation selected tab,F
font larger enough easy reading,F
icon clearly illustrate feature represents,F
basic patient information showed first,F
customized information displayed,F
entry shown full,F
text timedate note entered displayed starting recent,F
new delete button allow physicianpharmacist add notation patient file,F
description timedate prescription ordered given displayed starting recent,F
user system shall login using form unique identification,SE
login attempt shall done secure manner,SE
system shall compatible microsoft window operating system,O
system shall allow administrator remove equipment,F
system shall allow administrator install additional distributed location template,F
system shall allow administrator remove physical location,F
system shall allow administrator define negotiation rule organization,F
system shall give mediator privilege schedule location equipment resource,F
system shall allow mediator negotiate meeting date,F
system shall allow mediator solve date conflict,F
system shall allow mediator negotiate location equipment,F
system shall allow mediator solve location conflict,F
system shall allow mediator send receive message user,F
system shall allow initiator view information meeting initiated,F
system shall allow initiator cancel meeting initiated,F
system shall allow initiator send receive message user,F
system shall authenticate user beginning session,F
system shall allow user view schedule,F
system shall notify user schedule change,F
system shall allow user send receive message,F
system shall request user response initiator mediator message,F
system shall allow user modify date preference set already submitted meeting response,F
system shall allow user modify location preference set already submitted meeting response,F
system shall allow user modify equipment requirement set already submitted meeting response,F
system shall allow user modify date exclusion set already submitted meeting response,F
system shall allow user change password,F
system shall allow user view past attended meeting,F
system shall allow user view pending meeting,F
system shall show meeting user ascending time order default,F
system shall allow user view equipment information,F
system shall allow user view user information,F
system shall allow user specify custom meeting location,F
system shall allow user view location information,F
system shall allow user search available distributed location templatesif,F
system shall allow user view information concerning available distributed location templatesif,F
web application shall add 5 second perceivable overhead time necessary web database transaction time,PE
system shall utilize http communication ensure data confidentiality,SE
user authentication privilege defined outside scope sytem microsoft active directroy server,SE
personal information security defined outside scope sdms database server,SE
user shall required log system operation except operation login page,SE
system shall run window server 2003,PO
system shall compatible iis60 apache 20,PO
system shall display product configured,F
system shall allow user select product configure,F
system shall display available component product configure,F
system shall enable user add one component configuration,F
system shall notify user conflict current configuration,F
system shall allow user confirm completion current configuration,F
system shall display detailed information selected product,F
system shall provide browsing option see product detail,F
system shall display detailed product categorization user,F
system shall enable user enter search text screen,F
system shall enable user select multiple option screen search,F
system shall display matching product based search,F
system shall display 10 matching result current screen,F
system shall enable user navigate search result,F
system shall notify user matching product found search,F
system shall allow user create profile set credential,F
system shall authenticate user credential view profile,F
system shall allow user update profile information,F
system shall display active completed order history customer profile,F
system shall allow user select order order history,F
system shall display detailed information selected order,F
system shall display frequently searched item user profile,F
system shall allow user register newsletter survey profile,F
system shall allow user select support type want,F
system shall allow user enter customer product information support,F
system shall display customer support contact number screen,F
system shall allow user enter contact number support personnel call,F
system shall display online help upon request,F
system shall display faq upon request,F
system shall maintain customer email information required part customer profile,F
system shall send order confirmation user email,F
system shall display detailed invoice current order confirmed,F
system shall optionally allow user print invoice,F
system shall provide shopping cart online purchase,F
system shall allow user addremove product shopping cart,F
system shall display different shipping option provided shipping department,F
system shall enable user select shipping method payment process,F
system shall display shipping charge,F
system shall display tentative duration shipping,F
system shall allow user enter order information tracking,F
system shall display current tracking information order,F
system shall calculate tax order,F
system shall display tax information order,F
system shall display available payment method payment,F
system shall allow user select payment method order,F
system shall display order eligible change,F
system shall allow user select order changed,F
system shall allow user cancel order,F
system shall notify user change made order,F
system shall enable user enter review rating,F
system shall display available financing option,F
system shall allow user select financing option,F
system shall notify use financing request,F
system shall allow user view detailed sitemap,F
system shall display available promotion user,F
system shall allow user select available promotion,F
system shall allow user confirm purchase,F
system shall enable user enter payment information,F
system shall provide uniform look feel web page,LF
system shall provide digital image product product catalog,US
system shall provide use icon toolbars,US
system shall provide handicap access,US
system shall provide multi language support,US
system shall provide contractual agreement internet service provider t3 access 999999 availability,A
system shall provide contractual agreement internet service provider provide 99999 availability network facility onto internet,A
product shall based web run web server,O
product shall take initial load time depending internet connection strength also depends medium product run,PE
performance shall depend upon hardware component clientcustomer,PE
system shall use secure socket transaction include confidential customer information,SE
system shall automatically log customer period inactivity,SE
system shall confirm transaction customer web browser,US
system shall leave cooky customer computer containing user password,SE
system shall leave cooky customer computer containing user confidential information,SE
customer web browser shall never display customer password shall always echoed special character representing typed character,SE
customer web browser shall never display customer credit card number retrieving database shall always shown last 4 digit credit card number,SE
system backend server shall never display customer password customer password may reset never shown,SE
system backend database shall encrypted,SE
system shall allow user register account page system,F
system use single password per user login estore system,SE
system shall use secure socket layer ssl technology ensure payment made online user logins secure,SE
page application take 6 second load dsl broadband connection,PE
system may throttled slowed heavy load ensure service everybody throttling meant certain functionality may unavailable heavy server load,PE
application able support 100 concurrent user without performance degradation,PE
system able scale 500 concurrent user need future installing additional hardware component,SC
mtbf le 2 month,A
secure server required ensure confidentiality customer credit card detail,SE
user interface system user friendly,US
take 120 second new user register account,US
take 90 second registered user place order,US
system easy enough maintain someone else could manual hour training,MN
system portable various operating environment,PO
registered user must able maintain hisher session information least 60 minute inactive session system prompt log system registered user must provided option estore regardless time heshe log,F
entire website must userfriendly easily navigable website must provided site map quick access particular link according requirement specification user must able find heshe want site without difficulty website must adhere branding scheme layout web page must uniform throughout,US
system shall support 10000 simultaneous user central database given time 5000 simultaneous user local server one time performance website must optimal incase huge load hence appropriate load balancing must done achieve number mirror server readily available case huge load without user getting delay,PE
website must provide highest degree security registered user transaction made must secured sensitive information passed website must secured identity theft security related issue must solved unauthorized transmission sensitive information user third party website reference must avoided basis user agreement information must processed information registered user must securely stored central database,SE
