Term,Type,ECSS Standards,Branches
skew,full term,"['ECSS-E-ST-50-11C', 'ECSS-E-ST-50-12C Rev.1', 'ECSS-E-ST-50-12C']",['E']
source,full term,"['ECSS-E-ST-50-11C', 'ECSS-E-ST-50-12C Rev.1', 'ECSS-E-ST-40-07C', 'ECSS-E-ST-50C Rev. 1', 'ECSS-E-ST-50-12C', 'ECSS-E-ST-50C']",['E']
source node,full term,"['ECSS-E-ST-50-11C', 'ECSS-E-ST-50-12C Rev.1']",['E']
SpaceFibre interface,full term,['ECSS-E-ST-50-11C'],['E']
SpaceFibre port,full term,['ECSS-E-ST-50-11C'],['E']
switch matrix,full term,"['ECSS-E-ST-50-11C', 'ECSS-E-ST-50-12C Rev.1']",['E']
symbol,full term,"['ECSS-E-ST-50-11C', 'ECSS-E-ST-50-12C Rev.1']",['E']
symbol word,full term,['ECSS-E-ST-50-11C'],['E']
time-slot,full term,['ECSS-E-ST-50-11C'],['E']
transient error,full term,['ECSS-E-ST-50-11C'],['E']
transmission medium,full term,"['ECSS-E-ST-50-11C', 'ECSS-E-ST-50-12C Rev.1', 'ECSS-E-ST-50-12C']",['E']
transmit only lane,full term,['ECSS-E-ST-50-11C'],['E']
transmitter,full term,"['ECSS-E-ST-50-11C', 'ECSS-E-ST-50-12C Rev.1', 'ECSS-E-ST-50-12C']",['E']
transmitting lane,full term,['ECSS-E-ST-50-11C'],['E']
unidirectional lane,full term,['ECSS-E-ST-50-11C'],['E']
unrecognised symbol,full term,['ECSS-E-ST-50-11C'],['E']
used bandwidth,full term,['ECSS-E-ST-50-11C'],['E']
valid symbol,full term,['ECSS-E-ST-50-11C'],['E']
virtual channel,full term,['ECSS-E-ST-50-11C'],['E']
virtual network,full term,['ECSS-E-ST-50-11C'],['E']
allocated output port,full term,['ECSS-E-ST-50-12C Rev.1'],['E']
"after 6,4 μs",full term,['ECSS-E-ST-50-12C Rev.1'],['E']
"after 12,8 μs",full term,['ECSS-E-ST-50-12C Rev.1'],['E']
AutoStart,full term,['ECSS-E-ST-50-12C Rev.1'],['E']
broadcast code,full term,['ECSS-E-ST-50-12C Rev.1'],['E']
broadcast code identifier,full term,['ECSS-E-ST-50-12C Rev.1'],['E']
control code,full term,"['ECSS-E-ST-50-12C Rev.1', 'ECSS-E-ST-50-12C']",['E']
data link layer,full term,['ECSS-E-ST-50-12C Rev.1'],['E']
data­strobe,full term,['ECSS-E-ST-50-12C Rev.1'],['E']
disconnect,full term,['ECSS-E-ST-50-12C Rev.1'],['E']
distributed interrupt,full term,['ECSS-E-ST-50-12C Rev.1'],['E']
distributed interrupt code,full term,['ECSS-E-ST-50-12C Rev.1'],['E']
driver ground,full term,['ECSS-E-ST-50-12C Rev.1'],['E']
encoding layer,full term,['ECSS-E-ST-50-12C Rev.1'],['E']
error recovery scheme,full term,"['ECSS-E-ST-50-12C Rev.1', 'ECSS-E-ST-50-12C']",['E']
ESC,full term,['ECSS-E-ST-50-12C Rev.1'],['E']
ESC error,full term,['ECSS-E-ST-50-12C Rev.1'],['E']
FIFO port,full term,['ECSS-E-ST-50-12C Rev.1'],['E']
fall time,full term,['ECSS-E-ST-50-12C Rev.1'],['E']
first Null,full term,['ECSS-E-ST-50-12C Rev.1'],['E']
gotBC,full term,['ECSS-E-ST-50-12C Rev.1'],['E']
gotFCT,full term,['ECSS-E-ST-50-12C Rev.1'],['E']
gotNchar,full term,['ECSS-E-ST-50-12C Rev.1'],['E']
gotNull,full term,['ECSS-E-ST-50-12C Rev.1'],['E']
group adaptive routing,full term,['ECSS-E-ST-50-12C Rev.1'],['E']
interrupt acknowledgement code,full term,['ECSS-E-ST-50-12C Rev.1'],['E']
interrupt code,full term,['ECSS-E-ST-50-12C Rev.1'],['E']
interrupt destination,full term,['ECSS-E-ST-50-12C Rev.1'],['E']
interrupt handler,full term,['ECSS-E-ST-50-12C Rev.1'],['E']
interrupt identifier,full term,['ECSS-E-ST-50-12C Rev.1'],['E']
interrupt relay register,full term,['ECSS-E-ST-50-12C Rev.1'],['E']
interrupt source,full term,['ECSS-E-ST-50-12C Rev.1'],['E']
L-Char,full term,['ECSS-E-ST-50-12C Rev.1'],['E']
link character,full term,['ECSS-E-ST-50-12C Rev.1'],['E']
LinkDisabled,full term,['ECSS-E-ST-50-12C Rev.1'],['E']
link error,full term,['ECSS-E-ST-50-12C Rev.1'],['E']
link receiver,full term,"['ECSS-E-ST-50-12C Rev.1', 'ECSS-E-ST-50-12C']",['E']
LinkStart,full term,['ECSS-E-ST-50-12C Rev.1'],['E']
link transmitter,full term,"['ECSS-E-ST-50-12C Rev.1', 'ECSS-E-ST-50-12C']",['E']
low voltage differential signalling,full term,"['ECSS-E-ST-50-12C Rev.1', 'ECSS-E-ST-50-12C']",['E']
multicast,full term,"['ECSS-E-ST-50-12C Rev.1', 'ECSS-E-ST-50-16C']",['E']
multicast set,full term,['ECSS-E-ST-50-12C Rev.1'],['E']
network level,full term,"['ECSS-E-ST-50-12C Rev.1', 'ECSS-E-ST-50-12C']",['E']
normal-character,full term,"['ECSS-E-ST-50-12C Rev.1', 'ECSS-E-ST-50-12C']",['E']
Null,full term,['ECSS-E-ST-50-12C Rev.1'],['E']
physical layer,full term,['ECSS-E-ST-50-12C Rev.1'],['E']
port reset,full term,['ECSS-E-ST-50-12C Rev.1'],['E']
receive error,full term,['ECSS-E-ST-50-12C Rev.1'],['E']
receive FIFO,full term,['ECSS-E-ST-50-12C Rev.1'],['E']
receiver ground,full term,['ECSS-E-ST-50-12C Rev.1'],['E']
rise time,full term,['ECSS-E-ST-50-12C Rev.1'],['E']
SpaceWire interface,full term,['ECSS-E-ST-50-12C Rev.1'],['E']
SpaceWire network,full term,['ECSS-E-ST-50-12C Rev.1'],['E']
SpaceWire node,full term,['ECSS-E-ST-50-12C Rev.1'],['E']
SpaceWire port,full term,['ECSS-E-ST-50-12C Rev.1'],['E']
time­code,full term,['ECSS-E-ST-50-12C Rev.1'],['E']
time-code master,full term,['ECSS-E-ST-50-12C Rev.1'],['E']
time-code master node,full term,['ECSS-E-ST-50-12C Rev.1'],['E']
time-code register,full term,['ECSS-E-ST-50-12C Rev.1'],['E']
time-code value,full term,['ECSS-E-ST-50-12C Rev.1'],['E']
transmit FIFO,full term,['ECSS-E-ST-50-12C Rev.1'],['E']
aluminium equivalent thickness,full term,"['ECSS-E-ST-20-06C Rev.1', 'ECSS-E-ST-20-06C']",['E']
auroral zone,full term,"['ECSS-E-ST-20-06C Rev.1', 'ECSS-E-ST-20-06C']",['E']
deep-dielectric charging,full term,"['ECSS-E-ST-20-06C Rev.1', 'ECSS-E-ST-20-06C']",['E']
dielectric,full term,"['ECSS-E-ST-20-06C Rev.1', 'ECSS-E-ST-20-06C']",['E']
downstream,full term,"['ECSS-E-ST-20-06C Rev.1', 'ECSS-E-ST-20-06C']",['E']
electrostatic,full term,"['ECSS-E-ST-20-06C Rev.1', 'ECSS-E-ST-20-06C']",['E']
electrostatic breakdown,full term,"['ECSS-E-ST-20-06C Rev.1', 'ECSS-E-ST-20-06C']",['E']
electrostatic discharge,full term,"['ECSS-E-ST-20-06C Rev.1', 'ECSS-Q-ST-60-14C Rev.1 Corr.1', 'ECSS-Q-ST-60-14C', 'ECSS-E-ST-20-06C']","['E', 'Q']"
external charging,full term,"['ECSS-E-ST-20-06C Rev.1', 'ECSS-E-ST-20-06C']",['E']
flashover current,full term,['ECSS-E-ST-20-06C Rev.1'],['E']
insulator,full term,"['ECSS-E-ST-20-06C Rev.1', 'ECSS-E-ST-20-06C']",['E']
internal charging,full term,"['ECSS-E-ST-20-06C Rev.1', 'ECSS-E-ST-20-06C']",['E']
internal dielectric charging,full term,"['ECSS-E-ST-20-06C Rev.1', 'ECSS-E-ST-20-06C']",['E']
ion engine,full term,"['ECSS-E-ST-20-06C Rev.1', 'ECSS-E-ST-20-06C']",['E']
L shell,full term,"['ECSS-E-ST-20-06C Rev.1', 'ECSS-E-ST-20-06C']",['E']
outgassing rate,full term,"['ECSS-E-ST-20-06C Rev.1', 'ECSS-E-ST-20-06C', 'ECSS-E-ST-10-04C']",['E']
primary discharge,full term,"['ECSS-E-ST-20-06C Rev.1', 'ECSS-E-ST-20-06C']",['E']
radiation belt,full term,"['ECSS-E-ST-20-06C Rev.1', 'ECSS-E-ST-20-06C']",['E']
ram,full term,"['ECSS-E-ST-20-06C Rev.1', 'ECSS-E-ST-20-06C']",['E']
secondary arc,full term,"['ECSS-E-ST-20-06C Rev.1', 'ECSS-E-ST-20-06C']",['E']
surface charging,full term,"['ECSS-E-ST-20-06C Rev.1', 'ECSS-E-ST-20-06C']",['E']
tether,full term,"['ECSS-E-ST-20-06C Rev.1', 'ECSS-E-ST-20-06C']",['E']
thruster,full term,"['ECSS-E-ST-20-06C Rev.1', 'ECSS-E-ST-20-06C']",['E']
upstream,full term,"['ECSS-E-ST-20-06C Rev.1', 'ECSS-E-ST-20-06C']",['E']
wake,full term,"['ECSS-E-ST-20-06C Rev.1', 'ECSS-E-ST-20-06C']",['E']
local design factor,full term,"['ECSS-E-ST-32-10C Rev.2 Corr.1', 'ECSS-E-ST-32-10C Rev. 1', 'ECSS-E-ST-32-10C Rev.2']",['E']
margin policy factor,full term,"['ECSS-E-ST-32-10C Rev.2 Corr.1', 'ECSS-E-ST-32-10C Rev. 1', 'ECSS-E-ST-32-10C Rev.2']",['E']
model factor,full term,"['ECSS-E-ST-32-10C Rev.2 Corr.1', 'ECSS-E-ST-32-10C Rev. 1', 'ECSS-E-ST-32-10C Rev.2']",['E']
project factor,full term,"['ECSS-E-ST-32-10C Rev.2 Corr.1', 'ECSS-E-ST-32-10C Rev. 1', 'ECSS-E-ST-32-10C Rev.2']",['E']
prototype test,full term,"['ECSS-E-ST-32-10C Rev.2 Corr.1', 'ECSS-E-ST-32-10C Rev. 1', 'ECSS-E-ST-32-10C Rev.2']",['E']
protoflight test,full term,"['ECSS-E-ST-32-10C Rev.2 Corr.1', 'ECSS-E-ST-32-10C Rev. 1', 'ECSS-E-ST-32-10C Rev.2']",['E']
test factors,full term,"['ECSS-E-ST-32-10C Rev.2 Corr.1', 'ECSS-E-ST-32-10C Rev. 1', 'ECSS-E-ST-32-10C Rev.2']",['E']
ultimate design factor of safety,full term,"['ECSS-E-ST-32-10C Rev.2 Corr.1', 'ECSS-E-ST-32-10C Rev. 1', 'ECSS-E-ST-32-10C Rev.2']",['E']
yield design factor of safety,full term,"['ECSS-E-ST-32-10C Rev.2 Corr.1', 'ECSS-E-ST-32-10C Rev. 1', 'ECSS-E-ST-32-10C Rev.2']",['E']
actuator,full term,"['ECSS-E-ST-33-01C Rev.2', 'ECSS-E-ST-20-21C', 'ECSS-S-ST-00-01C', 'ECSS-E-ST-33-01C', 'ECSS-E-ST-33-01C Rev.1']","['E', 'S']"
control system,full term,"['ECSS-E-ST-33-01C Rev.2', 'ECSS-E-ST-33-01C', 'ECSS-E-ST-33-01C Rev.1']",['E']
deliverable output torque,full term,"['ECSS-E-ST-33-01C Rev.2', 'ECSS-E-ST-33-01C', 'ECSS-E-ST-33-01C Rev.1']",['E']
deliverable output force,full term,"['ECSS-E-ST-33-01C Rev.2', 'ECSS-E-ST-33-01C', 'ECSS-E-ST-33-01C Rev.1']",['E']
elementary function,full term,"['ECSS-E-ST-33-01C Rev.2', 'ECSS-E-ST-33-01C', 'ECSS-E-ST-33-01C Rev.1']",['E']
inertial resistance force,full term,"['ECSS-E-ST-33-01C Rev.2', 'ECSS-E-ST-33-01C', 'ECSS-E-ST-33-01C Rev.1']",['E']
inertial resistance torque,full term,"['ECSS-E-ST-33-01C Rev.2', 'ECSS-E-ST-33-01C', 'ECSS-E-ST-33-01C Rev.1']",['E']
fastener,full term,"['ECSS-E-ST-33-01C Rev.2', 'ECSS-E-ST-32-01C Rev. 2', 'ECSS-Q-ST-70-46C Rev. 1', 'ECSS-E-ST-33-01C Rev.1', 'ECSS-E-ST-32-01C Rev. 1']","['E', 'Q']"
flushing or purging,full term,"['ECSS-E-ST-33-01C Rev.2', 'ECSS-E-ST-33-01C', 'ECSS-E-ST-33-01C Rev.1']",['E']
latching or locking,full term,"['ECSS-E-ST-33-01C Rev.2', 'ECSS-E-ST-33-01C', 'ECSS-E-ST-33-01C Rev.1']",['E']
lubrication,full term,"['ECSS-E-ST-33-01C Rev.2', 'ECSS-E-ST-33-01C', 'ECSS-E-ST-33-01C Rev.1']",['E']
mechanism,full term,"['ECSS-E-ST-33-01C Rev.2', 'ECSS-E-ST-33-01C', 'ECSS-E-ST-33-01C Rev.1']",['E']
off-loading,full term,"['ECSS-E-ST-33-01C Rev.2', 'ECSS-E-ST-33-01C', 'ECSS-E-ST-33-01C Rev.1']",['E']
phase margin,full term,"['ECSS-E-ST-33-01C Rev.2', 'ECSS-E-ST-33-01C', 'ECSS-E-ST-33-01C Rev.1']",['E']
positively locked,full term,"['ECSS-E-ST-33-01C Rev.2', 'ECSS-E-ST-33-01C', 'ECSS-E-ST-33-01C Rev.1']",['E']
positive indication of status,full term,"['ECSS-E-ST-33-01C Rev.2', 'ECSS-E-ST-33-01C Rev.1']",['E']
primary function,full term,"['ECSS-E-ST-33-01C Rev.2', 'ECSS-E-ST-33-01C', 'ECSS-E-ST-33-01C Rev.1']",['E']
safety critical mechanism,full term,"['ECSS-E-ST-33-01C Rev.2', 'ECSS-E-ST-33-01C Rev.1']",['E']
threaded fastener,full term,"['ECSS-E-ST-33-01C Rev.2', 'ECSS-Q-ST-70-45C', 'ECSS-Q-ST-70-46C Rev. 1', 'ECSS-E-ST-33-01C', 'ECSS-E-ST-33-01C Rev.1']","['E', 'Q']"
tribology,full term,"['ECSS-E-ST-33-01C Rev.2', 'ECSS-E-ST-33-01C', 'ECSS-E-ST-33-01C Rev.1']",['E']
aided tracking,full term,"['ECSS-E-ST-60-20C Rev. 2', 'ECSS-E-ST-60-20C Rev. 1']",['E']
angular rate measurement,full term,"['ECSS-E-ST-60-20C Rev. 2', 'ECSS-E-ST-60-20C Rev. 1']",['E']
autonomous attitude determination,full term,"['ECSS-E-ST-60-20C Rev. 2', 'ECSS-E-ST-60-20C Rev. 1']",['E']
autonomous attitude tracking,full term,"['ECSS-E-ST-60-20C Rev. 2', 'ECSS-E-ST-60-20C Rev. 1']",['E']
autonomous star tracking,full term,"['ECSS-E-ST-60-20C Rev. 2', 'ECSS-E-ST-60-20C Rev. 1']",['E']
cartography,full term,"['ECSS-E-ST-60-20C Rev. 2', 'ECSS-E-ST-60-20C Rev. 1']",['E']
image download,full term,"['ECSS-E-ST-60-20C Rev. 2', 'ECSS-E-ST-60-20C Rev. 1']",['E']
partial image download,full term,"['ECSS-E-ST-60-20C Rev. 2', 'ECSS-E-ST-60-20C Rev. 1']",['E']
star tracking,full term,"['ECSS-E-ST-60-20C Rev. 2', 'ECSS-E-ST-60-20C Rev. 1']",['E']
sun survivability,full term,"['ECSS-E-ST-60-20C Rev. 2', 'ECSS-E-ST-60-20C Rev. 1']",['E']
baffle,full term,"['ECSS-E-ST-60-20C Rev. 2', 'ECSS-E-ST-60-20C Rev. 1']",['E']
detector,full term,"['ECSS-E-ST-60-20C Rev. 2', 'ECSS-E-ST-60-20C Rev. 1']",['E']
electronic processing unit,full term,"['ECSS-E-ST-60-20C Rev. 2', 'ECSS-E-ST-60-20C Rev. 1']",['E']
optical head,full term,"['ECSS-E-ST-60-20C Rev. 2', 'ECSS-E-ST-60-20C Rev. 1']",['E']
optical system,full term,"['ECSS-E-ST-60-20C Rev. 2', 'ECSS-E-ST-60-20C Rev. 1']",['E']
boresight reference frame,full term,"['ECSS-E-ST-60-20C Rev. 2', 'ECSS-E-ST-60-20C Rev. 1']",['E']
inertial reference frame,full term,"['ECSS-E-ST-60-20C Rev. 2', 'ECSS-E-ST-60-20C Rev. 1']",['E']
stellar reference frame,full term,"['ECSS-E-ST-60-20C Rev. 2', 'ECSS-E-ST-60-20C Rev. 1']",['E']
integration time,full term,"['ECSS-E-ST-60-20C Rev. 2', 'ECSS-E-ST-60-20C Rev. 1']",['E']
measurement date,full term,"['ECSS-E-ST-60-20C Rev. 2', 'ECSS-E-ST-60-20C Rev. 1']",['E']
output bandwidth,full term,"['ECSS-E-ST-60-20C Rev. 2', 'ECSS-E-ST-60-20C Rev. 1']",['E']
half-rectangular field of view,full term,"['ECSS-E-ST-60-20C Rev. 2', 'ECSS-E-ST-60-20C Rev. 1']",['E']
full cone field of view,full term,"['ECSS-E-ST-60-20C Rev. 2', 'ECSS-E-ST-60-20C Rev. 1']",['E']
pixel field of view,full term,"['ECSS-E-ST-60-20C Rev. 2', 'ECSS-E-ST-60-20C Rev. 1']",['E']
aspect angle,full term,"['ECSS-E-ST-60-20C Rev. 2', 'ECSS-E-ST-60-20C Rev. 1']",['E']
exclusion angle,full term,"['ECSS-E-ST-60-20C Rev. 2', 'ECSS-E-ST-60-20C Rev. 1']",['E']
correct attitude,full term,"['ECSS-E-ST-60-20C Rev. 2', 'ECSS-E-ST-60-20C Rev. 1']",['E']
false attitude,full term,"['ECSS-E-ST-60-20C Rev. 2', 'ECSS-E-ST-60-20C Rev. 1']",['E']
false star,full term,"['ECSS-E-ST-60-20C Rev. 2', 'ECSS-E-ST-60-20C Rev. 1']",['E']
image output time,full term,"['ECSS-E-ST-60-20C Rev. 2', 'ECSS-E-ST-60-20C Rev. 1']",['E']
maintenance level of attitude tracking,full term,"['ECSS-E-ST-60-20C Rev. 2', 'ECSS-E-ST-60-20C Rev. 1']",['E']
multiple star tracking maintenance level,full term,"['ECSS-E-ST-60-20C Rev. 2', 'ECSS-E-ST-60-20C Rev. 1']",['E']
night sky test,full term,"['ECSS-E-ST-60-20C Rev. 2', 'ECSS-E-ST-60-20C Rev. 1']",['E']
probability of correct attitude determination,full term,"['ECSS-E-ST-60-20C Rev. 2', 'ECSS-E-ST-60-20C Rev. 1']",['E']
probability of false attitude determination,full term,"['ECSS-E-ST-60-20C Rev. 2', 'ECSS-E-ST-60-20C Rev. 1']",['E']
probability of invalid attitude solution,full term,"['ECSS-E-ST-60-20C Rev. 2', 'ECSS-E-ST-60-20C Rev. 1']",['E']
sensor settling time,full term,"['ECSS-E-ST-60-20C Rev. 2', 'ECSS-E-ST-60-20C Rev. 1']",['E']
single star tracking maintenance probability,full term,"['ECSS-E-ST-60-20C Rev. 2', 'ECSS-E-ST-60-20C Rev. 1']",['E']
star image,full term,"['ECSS-E-ST-60-20C Rev. 2', 'ECSS-E-ST-60-20C Rev. 1']",['E']
star magnitude,full term,"['ECSS-E-ST-60-20C Rev. 2', 'ECSS-E-ST-60-20C Rev. 1']",['E']
validity,full term,"['ECSS-E-ST-60-20C Rev. 2', 'ECSS-E-ST-60-20C Rev. 1']",['E']
aberration of light,full term,"['ECSS-E-ST-60-20C Rev. 2', 'ECSS-E-ST-60-20C Rev. 1']",['E']
FOV spatial error,full term,"['ECSS-E-ST-60-20C Rev. 2', 'ECSS-E-ST-60-20C Rev. 1']",['E']
pixel spatial error,full term,"['ECSS-E-ST-60-20C Rev. 2', 'ECSS-E-ST-60-20C Rev. 1']",['E']
temporal noise,full term,"['ECSS-E-ST-60-20C Rev. 2', 'ECSS-E-ST-60-20C Rev. 1']",['E']
thermo elastic error,full term,"['ECSS-E-ST-60-20C Rev. 2', 'ECSS-E-ST-60-20C Rev. 1']",['E']
centralized software configuration,full term,['ECSS-E-ST-60-20C Rev. 2'],['E']
fused multiple optical head configuration,full term,"['ECSS-E-ST-60-20C Rev. 2', 'ECSS-E-ST-60-20C Rev. 1']",['E']
independent multiple optical head configuration,full term,"['ECSS-E-ST-60-20C Rev. 2', 'ECSS-E-ST-60-20C Rev. 1']",['E']
integrated single optical head configuration,full term,"['ECSS-E-ST-60-20C Rev. 2', 'ECSS-E-ST-60-20C Rev. 1']",['E']
separated single optical head configuration,full term,"['ECSS-E-ST-60-20C Rev. 2', 'ECSS-E-ST-60-20C Rev. 1']",['E']
actuator electronics,full term,['ECSS-E-ST-20-21C'],['E']
actuators group,full term,['ECSS-E-ST-20-21C'],['E']
all-fire current,full term,['ECSS-E-ST-20-21C'],['E']
no-fire current,full term,['ECSS-E-ST-20-21C'],['E']
maximum fire current,full term,['ECSS-E-ST-20-21C'],['E']
minimum actuation current,full term,['ECSS-E-ST-20-21C'],['E']
minimum actuation time,full term,['ECSS-E-ST-20-21C'],['E']
inhibition strap,full term,['ECSS-E-ST-20-21C'],['E']
current-driven actuator,full term,['ECSS-E-ST-20-21C'],['E']
voltage-driven actuator,full term,['ECSS-E-ST-20-21C'],['E']
short duration actuator,full term,['ECSS-E-ST-20-21C'],['E']
long duration actuator,full term,['ECSS-E-ST-20-21C'],['E']
blank,full term,"['ECSS-E-ST-35-06C Rev.2', 'ECSS-E-ST-35-06C Rev.1']",['E']
cleanliness verification,full term,"['ECSS-E-ST-35-06C Rev.2', 'ECSS-Q-ST-70-01C', 'ECSS-Q-ST-70-50C', 'ECSS-E-ST-35-06C Rev.1']","['E', 'Q']"
crazing,full term,"['ECSS-E-ST-35-06C Rev.2', 'ECSS-Q-ST-70-60C Corr.1', 'ECSS-Q-ST-70-10C', 'ECSS-Q-ST-70-11C', 'ECSS-E-ST-35-06C Rev.1']","['E', 'Q']"
critical surface,full term,"['ECSS-E-ST-35-06C Rev.2', 'ECSS-E-ST-35-06C Rev.1']",['E']
dew point,full term,"['ECSS-E-ST-35-06C Rev.2', 'ECSS-E-ST-35-06C Rev.1']",['E']
fibre,full term,"['ECSS-E-ST-35-06C Rev.2', 'ECSS-Q-ST-70-01C', 'ECSS-E-ST-35-06C Rev.1']","['E', 'Q']"
field cleaning,full term,"['ECSS-E-ST-35-06C Rev.2', 'ECSS-E-ST-35-06C Rev.1']",['E']
generally clean,full term,"['ECSS-E-ST-35-06C Rev.2', 'ECSS-E-ST-35-06C Rev.1']",['E']
high-efficiency particulate air filter,full term,"['ECSS-E-ST-35-06C Rev.2', 'ECSS-E-ST-35-06C Rev.1']",['E']
non-volatile residue,full term,"['ECSS-E-ST-35-06C Rev.2', 'ECSS-Q-ST-70-01C', 'ECSS-E-ST-35-06C Rev.1']","['E', 'Q']"
particle,full term,"['ECSS-E-ST-35-06C Rev.2', 'ECSS-Q-ST-70-01C', 'ECSS-Q-ST-70-50C', 'ECSS-Q-ST-60-14C Rev.1 Corr.1', 'ECSS-Q-ST-60-14C', 'ECSS-E-ST-35-06C Rev.1']","['E', 'Q']"
passivation,full term,"['ECSS-E-ST-35-06C Rev.2', 'ECSS-E-ST-35-06C Rev.1']",['E']
pickling,full term,"['ECSS-E-ST-35-06C Rev.2', 'ECSS-E-ST-35-06C Rev.1']",['E']
precision cleaning,full term,"['ECSS-E-ST-35-06C Rev.2', 'ECSS-E-ST-35-06C Rev.1']",['E']
pre-cleaning,full term,"['ECSS-E-ST-35-06C Rev.2', 'ECSS-E-ST-35-06C Rev.1']",['E']
reversion,full term,"['ECSS-E-ST-35-06C Rev.2', 'ECSS-E-ST-35-06C Rev.1']",['E']
silting,full term,"['ECSS-E-ST-35-06C Rev.2', 'ECSS-E-ST-35-06C Rev.1']",['E']
test fluid,full term,"['ECSS-E-ST-35-06C Rev.2', 'ECSS-E-ST-35-06C Rev.1']",['E']
threshold limit value,full term,"['ECSS-E-ST-35-06C Rev.2', 'ECSS-E-ST-35-06C Rev.1']",['E']
visibly clean,full term,"['ECSS-E-ST-35-06C Rev.2', 'ECSS-Q-ST-70-01C', 'ECSS-Q-ST-70-50C', 'ECSS-E-ST-35-06C Rev.1']","['E', 'Q']"
visibly clean plus ultraviolet,full term,"['ECSS-E-ST-35-06C Rev.2', 'ECSS-E-ST-35-06C Rev.1']",['E']
volatile hydrocarbon,full term,"['ECSS-E-ST-35-06C Rev.2', 'ECSS-E-ST-35-06C Rev.1']",['E']
aggregate,full term,['ECSS-E-ST-40-07C'],['E']
association,full term,['ECSS-E-ST-40-07C'],['E']
breakpoint,full term,['ECSS-E-ST-40-07C'],['E']
composite,full term,"['ECSS-E-ST-40-07C', 'ECSS-S-ST-00-01C']","['E', 'S']"
composition,full term,['ECSS-E-ST-40-07C'],['E']
configuration,full term,"['ECSS-E-ST-40-07C', 'ECSS-S-ST-00-01C']","['E', 'S']"
constructor,full term,['ECSS-E-ST-40-07C'],['E']
consumer,full term,"['ECSS-E-ST-40-07C', 'ECSS-M-ST-10-01C']","['E', 'M']"
container,full term,"['ECSS-E-ST-40-07C', 'ECSS-Q-ST-60-14C Rev.1 Corr.1', 'ECSS-Q-ST-60-14C']","['E', 'Q']"
contract,full term,"['ECSS-E-ST-40-07C', 'ECSS-S-ST-00-01C']","['E', 'S']"
data transfer,full term,['ECSS-E-ST-40-07C'],['E']
entry point,full term,['ECSS-E-ST-40-07C'],['E']
epoch time,full term,['ECSS-E-ST-40-07C'],['E']
event manager,full term,['ECSS-E-ST-40-07C'],['E']
event sink,full term,['ECSS-E-ST-40-07C'],['E']
event source,full term,['ECSS-E-ST-40-07C'],['E']
exception,full term,['ECSS-E-ST-40-07C'],['E']
field,full term,['ECSS-E-ST-40-07C'],['E']
input field,full term,['ECSS-E-ST-40-07C'],['E']
logger,full term,['ECSS-E-ST-40-07C'],['E']
mission time,full term,['ECSS-E-ST-40-07C'],['E']
model,full term,"['ECSS-E-ST-40-07C', 'ECSS-S-ST-00-01C']","['E', 'S']"
model implementation,full term,['ECSS-E-ST-40-07C'],['E']
model instance,full term,['ECSS-E-ST-40-07C'],['E']
output field,full term,['ECSS-E-ST-40-07C'],['E']
package,full term,"['ECSS-E-ST-40-07C', 'ECSS-Q-ST-60-14C Rev.1 Corr.1', 'ECSS-Q-ST-60-14C']","['E', 'Q']"
platform,full term,['ECSS-E-ST-40-07C'],['E']
primitive type,full term,['ECSS-E-ST-40-07C'],['E']
property,full term,['ECSS-E-ST-40-07C'],['E']
provider,full term,['ECSS-E-ST-40-07C'],['E']
reference,full term,['ECSS-E-ST-40-07C'],['E']
resolver,full term,['ECSS-E-ST-40-07C'],['E']
scheduler,full term,['ECSS-E-ST-40-07C'],['E']
simple field,full term,['ECSS-E-ST-40-07C'],['E']
simulation environment,full term,['ECSS-E-ST-40-07C'],['E']
simulation event,full term,['ECSS-E-ST-40-07C'],['E']
simulation time,full term,['ECSS-E-ST-40-07C'],['E']
simulator,full term,['ECSS-E-ST-40-07C'],['E']
simulation,full term,['ECSS-E-ST-40-07C'],['E']
simulation service,full term,['ECSS-E-ST-40-07C'],['E']
source component,full term,['ECSS-E-ST-40-07C'],['E']
target component,full term,['ECSS-E-ST-40-07C'],['E']
time keeper,full term,['ECSS-E-ST-40-07C'],['E']
value,full term,['ECSS-E-ST-40-07C'],['E']
value type,full term,['ECSS-E-ST-40-07C'],['E']
Zulu time,full term,['ECSS-E-ST-40-07C'],['E']
analysis margin,full term,['ECSS-E-ST-20-01C'],['E']
assembly,full term,"['ECSS-E-ST-20-01C', 'ECSS-S-ST-00-01C']","['E', 'S']"
backscattered electron,full term,['ECSS-E-ST-20-01C'],['E']
batch,full term,"['ECSS-E-ST-20-01C', 'ECSS-Q-ST-70-03C', 'ECSS-Q-ST-70-04C', 'ECSS-Q-ST-70-20C', 'ECSS-Q-ST-70-22C', 'ECSS-Q-ST-70-13C Rev. 1', 'ECSS-Q-ST-70-60C Corr.1', 'ECSS-S-ST-00-01C', 'ECSS-Q-ST-70-13C']","['E', 'Q', 'S']"
batch acceptance margin,full term,['ECSS-E-ST-20-01C'],['E']
critical gap,full term,['ECSS-E-ST-20-01C'],['E']
discharge,full term,['ECSS-E-ST-20-01C'],['E']
ferromagnetic material,full term,['ECSS-E-ST-20-01C'],['E']
gap voltage,full term,['ECSS-E-ST-20-01C'],['E']
heritage,full term,['ECSS-E-ST-20-01C'],['E']
