ECSS Source Reference,ID,RequirementText,_class_,Context
ECSS_E_ST_40C,ECSS-E-ST-40_0860008,customer shall specify content medium delivery,PM,  context_customer_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860009,customer shall specify support provide software supplier order integrate software system level note example rain maintenance configuration test support,PM, context_For_E  context_system_E context_software_ECSS_E_ST_40C context_configuration_E context_customer_ECSS context_maintenance_ECSS context_supplier_ECSS context_test_E 
ECSS_E_ST_40C,ECSS-E-ST-40_0860010,customer shall specify external interface software include static dynamic aspect nominal degrade mode,PM,  context_interface_E context_software_ECSS_E_ST_40C context_mode_E context_external_interface_E context_customer_ECSS context_static_E 
ECSS_E_ST_40C,ECSS-E-ST-40_0860011,customer shall specify content system database supplier order ensure consistency common data define allow operational range data,PM,  context_system_E context_operational_ECSS_E_ST_40C context_customer_ECSS context_supplier_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860012,customer shall define specific development design constraint supplier include use development standard,PM,  context_constraint_E context_customer_ECSS context_design_ECSS context_development_ECSS context_standard_ECSS context_supplier_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860013,customer shall specify requirement implement obcp note see ecssest,PM,  context_customer_ECSS context_requirement_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860014,customer shall specify reusability requirement apply development enable future reuse software include model use generate software customization mission eg family spacecraft launcher,PM,  context_mission_E context_spacecraft_E context_reusability_ECSS_E_ST_40C context_software_ECSS_E_ST_40C context_model_E context_customer_ECSS context_development_ECSS context_launcher_ECSS context_requirement_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860015,customer shall specify software safety dependability requirement accordance ecssqst clause base result safety dependability analysis perform system level,PM,  context_system_E context_software_ECSS_E_ST_40C context_analysis_E context_customer_ECSS context_dependability_ECSS context_requirement_ECSS context_safety_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860016,customer shall specify format delivery medium exchange data particular interface system database,PM,  context_interface_E context_system_E context_customer_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860017,customer shall conduct system requirement review srr accordance,PM,  context_system_E context_customer_ECSS context_requirement_ECSS context_review_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860018,software supplier shall define follow software life cycle include phase input output joint review accordance overall project constraint ecssmst,PM,  context_constraint_E context_life_cycle_E context_software_ECSS_E_ST_40C context_joint_E context_project_ECSS context_review_ECSS context_supplier_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860019,life cycle shall choose assess specific project technical approach relevant project risk,PM,  context_life_cycle_E context_project_ECSS context_risk_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860020,software supplier shall define development strategy software engineering standard technique software development software test environment,PM,  context_environment_E context_software_ECSS_E_ST_40C context_development_ECSS context_standard_ECSS context_supplier_ECSS context_test_E 
ECSS_E_ST_40C,ECSS-E-ST-40_0860021,output phase status completion submit input joint review shall specify software life cycle definition include document complete outline version result verification output phase,PM,  context_life_cycle_E context_software_ECSS_E_ST_40C context_verification_ECSS_E_ST_40C context_joint_E context_review_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860022,interface development maintenance eg document hand tool keep maintenance shall identify software life cycle,PM,  context_life_cycle_E context_interface_E context_software_ECSS_E_ST_40C context_development_ECSS context_maintenance_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860023,supplier shall document implement software procurement process specify ecssqst clause,PM,  context_software_ECSS_E_ST_40C context_process_ECSS context_supplier_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860024,autocode input model shall review together rest software specification architecture design note autocode input model integral part software specification architecture design,PM,  context_specification_E context_software_ECSS_E_ST_40C context_model_E context_design_ECSS context_part_ECSS context_review_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860025,case coexist autocoded manually write part software development plan shall include definition clear interface definition resource allocation memory cpu pdr,PM,  context_interface_E context_software_ECSS_E_ST_40C context_memory_E context_resource_E context_development_ECSS context_part_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860026,input model management code generation process support tool shall document sdp,PM,  context_model_E context_process_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860027,supplier shall define sdp verification validation strategy automatic code generation result trade qualification code generation toolchain end end validation strategy software item combination thereof relation ecssqst clause,PM,  context_automatic_code_generation_ECSS_E_ST_40C context_software_ECSS_E_ST_40C context_software_item_ECSS_E_ST_40C context_validation_ECSS_E_ST_40C context_verification_ECSS_E_ST_40C context_qualification_ECSS context_supplier_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860028,configuration management automatic code generation related element shall define scmp,PM,  context_automatic_code_generation_ECSS_E_ST_40C context_configuration_E context_configuration_management_ECSS context_element_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860029,change baseline shall handle configuration management process describe clause ecssqst,PM,  context_configuration_E context_process_ECSS context_baseline_ECSS context_configuration_management_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860030,joint review shall hold evaluate progress output project process activity provide evidence output complete output conforms applicable standard specification change properly implement impact area identify configuration management process output conforms applicable schedule output status next activity start activity conduct accord plan schedule standard guideline lay project note joint review process process evaluate status product activity project appropriate process employ two party one party review party review another party review partyfor project review two party customer supplier joint review hold throughout life cycle software,PM,  context_life_cycle_E context_specification_E context_impact_E context_software_ECSS_E_ST_40C context_activity_E context_schedule_E context_configuration_E context_joint_E context_process_ECSS context_configuration_management_ECSS context_customer_ECSS context_product_ECSS context_project_ECSS context_review_ECSS context_standard_ECSS context_supplier_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860031,software project review ie joint review organize responsibility customer aim define customer approve technical baseline shall include software life cycle minimum srr pdr cdr qr ar specify,PM, context_AR_ECSS_E_ST_40C context_QR_ECSS_E_ST_40C  context_life_cycle_E context_software_ECSS_E_ST_40C context_joint_E context_baseline_ECSS context_customer_ECSS context_project_ECSS context_review_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860032,review process specify ecssmst shall apply software project review include agreement review plan review process start,PM,  context_software_ECSS_E_ST_40C context_process_ECSS context_project_ECSS context_review_ECSS context_agreement_E 
ECSS_E_ST_40C,ECSS-E-ST-40_0860033,addition software project review software technical review ie joint review organize responsibility customer supplier aim define technical baseline shall define,PM,  context_software_ECSS_E_ST_40C context_joint_E context_baseline_ECSS context_customer_ECSS context_project_ECSS context_review_ECSS context_supplier_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860034,applicable technical review process shall specify supplier,PM,  context_process_ECSS context_review_ECSS context_supplier_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860035,supplier shall use software technical review implement intermediate review particular incremental life cycle aim enable cope alternative life cycle necessarily waterfall case incremental life cycle particular enables hold formal review last increment technical review anticipation increment,PM,  context_life_cycle_E context_software_ECSS_E_ST_40C context_review_ECSS context_supplier_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860036,completion software requirement baseline specification system requirement review srr shall take place aim reach approval software requirement baseline stakeholder,PM,  context_specification_E context_stakeholder_E context_system_E context_software_ECSS_E_ST_40C context_approval_ECSS context_baseline_ECSS context_requirement_ECSS context_review_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860037,completion software requirement analysis architectural design verification validation process implementation preliminary design review pdr shall take place aim review compliance technical specification t requirement baseline review software architecture interfaces review development verification validation plan,PM,  context_specification_E context_software_ECSS_E_ST_40C context_validation_ECSS_E_ST_40C context_verification_ECSS_E_ST_40C context_process_ECSS context_analysis_E context_baseline_ECSS context_design_ECSS context_development_ECSS context_requirement_ECSS context_review_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860038,case software requirement baselined start architectural design part pdr address software requirement specification interface specification shall hold separate joint review anticipate pdr software requirement review swrr aim eg case software intensive system early baseline requirement require,PM, context_PDR_ECSS_E_ST_40C  context_specification_E context_interface_E context_system_E context_software_ECSS_E_ST_40C context_software_intensive_system_ECSS_E_ST_40C context_joint_E context_baseline_ECSS context_design_ECSS context_part_ECSS context_requirement_ECSS context_review_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860039,completion design software item cod test integration validation respect technical specification critical design review cdr shall take place aim review design definition file include software architectural design detail design code user manual review design justification file include completeness software unit test integration validation respect technical specification,PM,  context_specification_E context_user_E context_unit_E context_software_ECSS_E_ST_40C context_software_item_ECSS_E_ST_40C context_software_unit_ECSS_E_ST_40C context_unit_test_ECSS_E_ST_40C context_validation_ECSS_E_ST_40C context_critical_E context_design_ECSS context_integration_E context_review_ECSS context_test_E 
ECSS_E_ST_40C,ECSS-E-ST-40_0860040,case software detail design baselined start cod part cdr address software detailed design interface design software budget shall hold separate joint review anticipate cdr detail design review ddr,PM, context_CDR_ECSS_E_ST_40C  context_interface_E context_software_ECSS_E_ST_40C context_joint_E context_design_ECSS context_part_ECSS context_review_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860041,completion software validation requirement baseline verification activity qualification review qr shall take place,PM,  context_software_ECSS_E_ST_40C context_validation_ECSS_E_ST_40C context_verification_ECSS_E_ST_40C context_activity_E context_baseline_ECSS context_qualification_ECSS context_requirement_ECSS context_review_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860042,completion software delivery installation software acceptance acceptance review ar shall take place aim accept software product intend operational environment,PM,  context_environment_E context_operational_ECSS_E_ST_40C context_software_ECSS_E_ST_40C context_acceptance_ECSS context_product_ECSS context_review_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860043,test readiness review trr shall hold begin test activity define software development plan,PM,  context_software_ECSS_E_ST_40C context_activity_E context_development_ECSS context_review_ECSS context_test_E 
ECSS_E_ST_40C,ECSS-E-ST-40_0860044,test review board trb shall approve test result end test activity define software development plan,PM,  context_software_ECSS_E_ST_40C context_activity_E context_development_ECSS context_review_ECSS context_test_E 
ECSS_E_ST_40C,ECSS-E-ST-40_0860045,flight software phase software life cycle system life cycle shall choose assess follow drive aspect system model philosophy eg protoflight model versus utilization engineering qualification model system verification qualification approach constraint capability baseline system design system cdr know enough information software design particular consolidate size time budget consistent hardware design software design,PM, context_For_E  context_model_philosophy_E context_constraint_E context_life_cycle_E context_system_E context_software_ECSS_E_ST_40C context_verification_ECSS_E_ST_40C context_capability_E context_model_E context_baseline_ECSS context_design_ECSS context_engineering_qualification_model_ECSS context_protoflight_model_ECSS context_qualification_ECSS context_qualification_model_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860046,flight software follow software versus system level review synchronisation shall plan follow software srr later system pdr software pdr system pdr system cdr detail design software review system cdr eg ddr software cdr system qr software qr within system qr,PM, context_CDR_ECSS_E_ST_40C context_PDR_ECSS_E_ST_40C context_QR_ECSS_E_ST_40C context_SRR_ECSS_E_ST_40C context_DDR_ECSS_E_ST_40C context_For_E  context_system_E context_software_ECSS_E_ST_40C context_design_ECSS context_review_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860047,ground segment software software life cycle shall choose assess follow constraint ground review phase baseline software requirement eg swrr perform ground segment pdr software pdr perform ground segment cdr software review perform ground segment qr,PM, context_CDR_ECSS_E_ST_40C context_PDR_ECSS_E_ST_40C context_For_E  context_constraint_E context_life_cycle_E context_software_ECSS_E_ST_40C context_ground_segment_E context_segment_E context_baseline_ECSS context_requirement_ECSS context_review_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860048,interface management procedure shall define accordance ecssmst requirement aim define procedure guarantee consistency system interface,PM,  context_procedure_E context_interface_E context_system_E context_requirement_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860049,technical budget target margin philosophy dedicate software shall specify customer requirement baseline order define limit software budget associate computer network resource cpu load maximum memory size deadline fulfilment communication archive need remote access need performance requirement data throughput aim allows anticipate expect change requirement baseline requirement reprogramming system operational use require budget temporary copy software image constraint state transition especially recovery faulty state concern constraint physical cpu type memory eg drive radiation level expect processor capacity wait state interface cache pipelining etc equipment communication performance aspects eg bus protocols acceptable error bus capacity usage source etc accuracy aspect conversion tofrom analogue signal accuracy time signal budget os kernel characterisation context switch latency deadline task mission system operation characteristic reference operational scenario note follow cpu load margin reference value often consider pdr ddr trr cdr qr ar note follow memory margin reference value ram eeprom often consider pdr ddr trr cdr qr ar,PM, context_CDR_ECSS_E_ST_40C context_QR_ECSS_E_ST_40C context_EEPROM_E context_CPU_ECSS_E_ST_40C context_DDR_ECSS_E_ST_40C context_RAM_E context_OS_E  context_constraint_E context_mission_E context_need_E context_operation_E context_task_E context_margin_E context_radiation_E context_interface_E context_system_E context_margin_philosophy_ECSS_E_ST_40C context_operational_ECSS_E_ST_40C context_software_ECSS_E_ST_40C context_accuracy_E context_memory_E context_target_E context_resource_E context_network_E context_signal_E context_source_E context_ram_E context_reference_E context_value_E context_switch_E context_baseline_ECSS context_customer_ECSS context_equipment_ECSS context_performance_ECSS context_requirement_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860050,way compute technical budget margin shall agree customer supplier,PM,  context_margin_E context_customer_ECSS context_supplier_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860051,supplier shall provide compliance matrix document conformance individual software engineering process requirement clause applicable project business agreement per ecsssst,PM,  context_software_ECSS_E_ST_40C context_process_ECSS context_business_agreement_ECSS context_conformance_ECSS context_project_ECSS context_requirement_ECSS context_supplier_ECSS context_agreement_E 
ECSS_E_ST_40C,ECSS-E-ST-40_0860052,compliance individual software engineering process requirement shall make reference document expect output place placed standard drds annex document note general statement compliance standard drds acceptable,PM,  context_software_ECSS_E_ST_40C context_statement_E context_reference_E context_process_ECSS context_requirement_ECSS context_standard_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860053,supplier shall establish document software requirement include software quality requirement part technical specification,PM,  context_specification_E context_software_ECSS_E_ST_40C context_part_ECSS context_quality_ECSS context_requirement_ECSS context_supplier_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860054,flight modification specify flight software supplier shall perform analysis specific implication software design validation process include functional performance requirement technical specification include case use automatic code generation,PM,  context_specification_E context_automatic_code_generation_ECSS_E_ST_40C context_software_ECSS_E_ST_40C context_validation_ECSS_E_ST_40C context_process_ECSS context_analysis_E context_design_ECSS context_performance_ECSS context_requirement_ECSS context_supplier_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860055,supplier shall construct logical model functional requirement software product,PM,  context_logical_model_ECSS_E_ST_40C context_software_ECSS_E_ST_40C context_model_E context_product_ECSS context_requirement_ECSS context_supplier_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860056,supplier shall use method support construction logical model,PM,  context_logical_model_ECSS_E_ST_40C context_model_E context_supplier_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860058,supplier shall conduct software requirement review swrr anticipation pdr conformance b,PM,  context_software_ECSS_E_ST_40C context_conformance_ECSS context_requirement_ECSS context_review_ECSS context_supplier_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860059,supplier shall transform requirement software item architecture describe toplevel structure identifies software component ensure requirement software item allocate software component later refine facilitate detailed design cover minimum hierarchy dependency interface operational usage software component document process data control aspects product describes architecture static decomposition software element package class unit describe dynamic architecture involve identification active object thread task process describe software behaviour,PM,  context_task_E context_component_E context_unit_E context_structure_E context_interface_E context_operational_ECSS_E_ST_40C context_software_ECSS_E_ST_40C context_software_component_ECSS_E_ST_40C context_software_item_ECSS_E_ST_40C context_package_E context_process_ECSS context_design_ECSS context_element_ECSS context_product_ECSS context_requirement_ECSS context_supplier_ECSS context_static_E 
ECSS_E_ST_40C,ECSS-E-ST-40_0860060,supplier shall use method eg object orient functional produce static dynamic architecture include software element interface software element relationship,PM,  context_interface_E context_software_ECSS_E_ST_40C context_element_ECSS context_supplier_ECSS context_static_E 
ECSS_E_ST_40C,ECSS-E-ST-40_0860061,dynamic architecture design shall describe accord analysable computational model,PM,  context_model_E context_design_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860062,software architecture design shall also describe behaviour software mean description technique use automaton scenario,PM,  context_software_ECSS_E_ST_40C context_design_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860063,supplier shall develop document software preliminary design interface external software item software component software item,PM,  context_component_E context_interface_E context_software_ECSS_E_ST_40C context_software_component_ECSS_E_ST_40C context_software_item_ECSS_E_ST_40C context_design_ECSS context_supplier_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860064,supplier shall define procedure method tool reuse apply software engineering process comply reusability requirement software development,PM,  context_procedure_E context_reusability_ECSS_E_ST_40C context_software_ECSS_E_ST_40C context_process_ECSS context_development_ECSS context_requirement_ECSS context_supplier_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860065,evaluation reuse potential software shall perform pdr cdr,PM, context_PDR_ECSS_E_ST_40C  context_software_ECSS_E_ST_40C 
ECSS_E_ST_40C,ECSS-E-ST-40_0860066,supplier shall design software mission configuration dependant data separate eg database,PM,  context_mission_E context_software_ECSS_E_ST_40C context_configuration_E context_design_ECSS context_supplier_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860067,analysis potential reusability exist software component shall perform identification reuse component model respect functional requirement baseline quality evaluation component apply ecssqst clause,PM,  context_component_E context_reusability_ECSS_E_ST_40C context_software_ECSS_E_ST_40C context_software_component_ECSS_E_ST_40C context_model_E context_analysis_E context_baseline_ECSS context_quality_ECSS context_requirement_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860068,supplier shall define document preliminary software integration strategy term responsibility schedule control procedures test approach goal achieve sequence environment criterion,PM,  context_environment_E context_software_ECSS_E_ST_40C context_schedule_E context_integration_E context_supplier_ECSS context_test_E 
ECSS_E_ST_40C,ECSS-E-ST-40_0860069,supplier shall conduct preliminary design review pdr accordance clause note successful completion review establishes baseline development software item,PM,  context_software_ECSS_E_ST_40C context_software_item_ECSS_E_ST_40C context_baseline_ECSS context_design_ECSS context_development_ECSS context_review_ECSS context_supplier_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860070,supplier shall develop detailed design component software document,PM,  context_component_E context_software_ECSS_E_ST_40C context_design_ECSS context_supplier_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860208,ss shall describe product perspective related system,V, context_SSS_E  context_system_E context_product_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860209,product replace exist system system shall describe reference,V,  context_system_E context_reference_E context_product_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860210,ss shall describe main capability support software note reference state mode system make,V, context_SSS_E  context_system_E context_software_ECSS_E_ST_40C context_mode_E context_capability_E context_reference_E 
ECSS_E_ST_40C,ECSS-E-ST-40_0860211,ss shall describe item limit supplier option design develop software,V, context_SSS_E  context_software_ECSS_E_ST_40C context_design_ECSS context_supplier_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860212,ss shall describe software operational environment,V, context_SSS_E  context_environment_E context_operational_ECSS_E_ST_40C context_software_ECSS_E_ST_40C 
ECSS_E_ST_40C,ECSS-E-ST-40_0860216,reference interface requirement document define external interface system shall provide,V,  context_interface_E context_system_E context_external_interface_E context_interface_requirement_document_E context_reference_E context_requirement_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860217,computer infrastructure use shall also describe,V,  
ECSS_E_ST_40C,ECSS-E-ST-40_0860218,ss shall list make reference exist assumption specific requirement base note risk analysis use identify assumption prove valid note constraint requirement example specify interface system exist note production system occur expect system specification change note follow provision apply system specific requirement list ss specify,V, context_SSS_E  context_constraint_E context_specification_E context_interface_E context_system_E context_reference_E context_analysis_E context_provision_ECSS context_requirement_ECSS context_risk_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860219,requirement shall uniquely identify,M,  context_requirement_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860220,requirement express model supplier shall establish way assign identifier within model sake traceability,M,  context_model_E context_requirement_ECSS context_supplier_ECSS context_traceability_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860221,requirement shall associate validation method version per ecssqst,M,  context_validation_ECSS_E_ST_40C context_requirement_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860222,ss shall list requirement specify system behaviour associate performance,V, context_SSS_E  context_system_E context_performance_ECSS context_requirement_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860223,description capability requirement shall organize capability type note example requirement organize per control subsystem eg aocs power thermal,M, context_For_E  context_subsystem_E context_capability_E context_requirement_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860224,capability requirement shall include realtime behaviour constraint system f,M,  context_constraint_E context_system_E context_capability_E context_requirement_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860225,hmi capability requirement shall result human factor engineering process describe ecssest,M, context_HMI_ECSS_E_ST_40C  context_capability_E context_process_ECSS context_requirement_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860226,ss shall state capability implement onboard control procedure obcp,V, context_SSS_E  context_procedure_E context_capability_E 
ECSS_E_ST_40C,ECSS-E-ST-40_0860227,ss shall list refer ird interface requirement impose system,V, context_SSS_E  context_interface_E context_system_E context_requirement_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860228,requirement follow shall either list ss refer ird communication interface hardware interface software interface hmi,M, context_SSS_E  context_interface_E context_software_ECSS_E_ST_40C context_requirement_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860229,ss shall list data vary accord operational need site–dependant data include system database,V, context_SSS_E  context_need_E context_system_E context_operational_ECSS_E_ST_40C 
ECSS_E_ST_40C,ECSS-E-ST-40_0860230,ss shall list requirement computer hardware use,V, context_SSS_E  context_requirement_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860231,ss shall list requirement computer resource utilization eg processor capacity memory capacity available software item eg size timing,V, context_SSS_E  context_software_ECSS_E_ST_40C context_software_item_ECSS_E_ST_40C context_memory_E context_resource_E context_requirement_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860232,ss shall list requirement software item use incorporated system constituent software product eg specific real time operate system,V, context_SSS_E  context_system_E context_software_ECSS_E_ST_40C context_software_item_ECSS_E_ST_40C context_product_ECSS context_requirement_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860233,ss shall list security requirement applicable system,V, context_SSS_E  context_system_E context_requirement_ECSS context_security_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860234,ss shall list safety requirement applicable system,V, context_SSS_E  context_system_E context_requirement_ECSS context_safety_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860235,ss shall list reliability availability requirement applicable system,V, context_SSS_E  context_system_E context_availability_ECSS context_reliability_ECSS context_requirement_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860236,ss shall list quality requirement applicable software eg usability reusability portability applicable software development standard note future reuse develop software component requirement customer specifies generic application domain component example include requirement software architecture give target computer operate system interface require reuse level reuse require eg function sub–system code unit,V, context_SSS_E  context_function_E context_component_E context_unit_E context_interface_E context_system_E context_portability_ECSS_E_ST_40C context_reusability_ECSS_E_ST_40C context_software_ECSS_E_ST_40C context_software_component_ECSS_E_ST_40C context_usability_ECSS_E_ST_40C context_target_E context_customer_ECSS context_development_ECSS context_quality_ECSS context_requirement_ECSS context_standard_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860237,ss shall include requirement constraint design production system note software integrated system customer check applicability harmonization constraint specification operate system use specification cot use eg database hmi generator specification sde use,V, context_COTS_ECSS_E_ST_40C context_HMI_ECSS_E_ST_40C context_SDE_ECSS_E_ST_40C context_SSS_E  context_constraint_E context_specification_E context_system_E context_software_ECSS_E_ST_40C context_customer_ECSS context_design_ECSS context_requirement_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860238,least follow type requirement shall consider constraint software architecture utilization standard utilization exist component utilization customer furnish component cot component note instance database use produce automatically configure software eg generation table constant data initial value note instance database accord ecssest ecssest eg mission–operations database operational database ground element space segment database spacecraft database utilization design standard utilization data standard utilization specific program language utilization specific name convention flexibility expansion utilization hmi standard,V, context_COTS_ECSS_E_ST_40C context_HMI_ECSS_E_ST_40C context_For_E  context_constraint_E context_component_E context_spacecraft_E context_operational_ECSS_E_ST_40C context_software_ECSS_E_ST_40C context_flexibility_E context_segment_E context_value_E context_customer_ECSS context_design_ECSS context_element_ECSS context_requirement_ECSS context_space_segment_ECSS context_standard_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860239,ss shall include system requirement operation software note supplier response provide release operational plan execution establish clause,V, context_SSS_E  context_operation_E context_response_E context_system_E context_operational_ECSS_E_ST_40C context_software_ECSS_E_ST_40C context_requirement_ECSS context_supplier_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860240,ss shall include system requirement maintenance software include system requirement flight modification capability note supplier response agree customer system requirement review srr intend release maintenance plan execution establish clause note due long lifetime often encountered flight software special requirement also exist ensure support tool eg compiler engineering tool inflight modification tool support in–orbit reprogramming specify lifetime,V, context_SSS_E  context_response_E context_system_E context_software_ECSS_E_ST_40C context_capability_E context_customer_ECSS context_lifetime_ECSS context_maintenance_ECSS context_requirement_ECSS context_review_ECSS context_supplier_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860241,ss shall include system software requirement observability system note observability requirement impair performance requirement eg computer throughput bandwidth ground exploitation rate telecommands impact specify observability requirement eg consider need oversampling note case acg capability code generator automatically instrument code remove code part cover observability requirement consider,V, context_SSS_E  context_need_E context_impact_E context_system_E context_software_ECSS_E_ST_40C context_observability_E context_capability_E context_part_ECSS context_performance_ECSS context_requirement_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860242,ss shall include requirement need plan set system verification validation process relate software note specific customer requirement eg availability usage customer furnish equipment like etm em fm relate ground system need order plan set system level verification validation process relate software furthermore important define test mission phase mission increment far applicable usage hardwaresoftware simulator representative flight ground environment system payloads experiment pre integration test hardwaresoftware compatibility well acceptance test,V, context_FM_E context_SSS_E  context_environment_E context_mission_E context_need_E context_compatibility_E context_system_E context_software_ECSS_E_ST_40C context_validation_ECSS_E_ST_40C context_verification_ECSS_E_ST_40C context_ground_system_E context_acceptance_test_E context_simulator_E context_process_ECSS context_acceptance_ECSS context_availability_ECSS context_customer_ECSS context_equipment_ECSS context_integration_E context_requirement_ECSS context_test_E context_mission_phase_E 
ECSS_E_ST_40C,ECSS-E-ST-40_0860243,ss shall include requirement validation software requirement baseline technical specification particular mission representative data scenario operational procedure use,V, context_SSS_E  context_mission_E context_specification_E context_procedure_E context_operational_ECSS_E_ST_40C context_software_ECSS_E_ST_40C context_validation_ECSS_E_ST_40C context_baseline_ECSS context_requirement_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860244,ss shall describe validation requirement specify support demonstration software requirement meet,V, context_SSS_E  context_software_ECSS_E_ST_40C context_validation_ECSS_E_ST_40C context_requirement_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860245,identify requirement b validation method shall include,M, context_For_E  context_validation_ECSS_E_ST_40C context_requirement_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860247,ss shall include requirement installation acceptance software need version content medium need supplier support system integration format delivery medium exchange data project include interface system database,V, context_SSS_E  context_need_E context_interface_E context_system_E context_software_ECSS_E_ST_40C context_acceptance_ECSS context_integration_E context_project_ECSS context_requirement_ECSS context_supplier_ECSS context_support_system_ECSS 
ECSS_E_ST_40C,ECSS-E-ST-40_0860249,ird shall contain description purpose objective content reason prompt preparation,V, context_IRD_ECSS_E_ST_40C  
ECSS_E_ST_40C,ECSS-E-ST-40_0860252,ird shall describe product external interface system,V, context_IRD_ECSS_E_ST_40C  context_interface_E context_system_E context_external_interface_E context_product_ECSS 
